unix,open,high,low,close,Volume BTC,tradecount
1.6449E+12,43617.66,43620.42,43556.75,43609.32,30.35944,726
1.64489E+12,43527.25,43555.05,43518.98,43518.99,14.0504,679
1.64489E+12,43487.16,43515,43487.16,43507.17,43.39405,616
1.64489E+12,43537.63,43565,43531.05,43544.87,37.35576,1062
1.64489E+12,43145.82,43350.48,43140.99,43294.51,528.54114,12153
1.64489E+12,42570.72,42590.98,42563.34,42590.98,9.79047,329
1.64489E+12,42488.78,42489.82,42465.99,42470.53,8.57533,372
1.64488E+12,42581.58,42607.9,42568,42601.34,20.56909,431
1.64488E+12,42640.93,42648.19,42640.26,42646.13,3.07065,266
1.64488E+12,42756.64,42777.98,42756.63,42769.55,11.03904,430
1.64488E+12,42665.59,42665.59,42660.92,42660.92,2.89879,237
1.64488E+12,42279.73,42289,42277.2,42289,8.59155,339
1.64487E+12,42139.93,42152.33,42132.53,42148.49,8.86455,278
1.64487E+12,42215.99,42219.89,42199.02,42213.86,15.2835,378
1.64487E+12,42275.56,42308.72,42259.24,42266.89,33.08325,772
1.64487E+12,42147.27,42147.27,42050.7,42091.83,53.74878,786
1.64487E+12,42031.84,42076.26,42000.39,42040.82,52.32473,1023
1.64487E+12,42137.24,42180.34,42086,42149.7,78.89383,1879
1.64486E+12,42480.02,42498.74,42456.67,42496.02,7.73875,311
1.64486E+12,42572.11,42642.59,42572.1,42616.2,42.69291,674
1.64486E+12,42599.99,42600,42553.93,42573.87,32.97402,658
1.64486E+12,42639.66,42649.99,42620.01,42649.7,20.79221,584
1.64486E+12,42748.17,42818.35,42748.17,42768.76,51.82748,991
1.64485E+12,42671.64,42678.99,42625.18,42632.42,13.41932,590
1.64485E+12,42386,42411.08,42363.61,42371.06,55.69629,1201
1.64485E+12,42476.98,42493.82,42464.25,42472.88,21.12311,607
1.64485E+12,42607.18,42711,42601.12,42616.49,73.26751,1253
1.64485E+12,42546.62,42548.56,42520.99,42547.74,18.70594,525
1.64485E+12,42560.96,42577.07,42530.15,42531.56,21.14143,775
1.64484E+12,42558.25,42634.37,42557,42590.08,40.26839,956
1.64484E+12,42121.51,42143.84,42115,42122.08,12.74642,440
1.64484E+12,42096,42101.48,42055.5,42065.94,19.34898,588
1.64484E+12,42188.41,42190.05,42169.2,42189.38,6.97592,283
1.64484E+12,42236.79,42239.99,42215.58,42222.04,7.9818,365
1.64483E+12,42128.86,42139.98,42116.44,42121.17,18.83144,409
1.64483E+12,42031.48,42121.72,42027.17,42103.46,39.68387,945
1.64483E+12,42155.02,42200,42151.13,42191.13,28.12503,629
1.64483E+12,42016.54,42018.58,41961,41961,23.55059,687
1.64483E+12,42128.85,42181.99,42128.85,42174.28,15.79169,423
1.64483E+12,42322.5,42344.94,42302.53,42336.06,22.90144,591
1.64482E+12,42164.15,42180.31,42153,42172.02,17.8526,510
1.64482E+12,42135.45,42142.96,42113.9,42142.7,8.59527,407
1.64482E+12,41907.94,41961.94,41902.98,41945.87,9.91056,464
1.64482E+12,41806.66,41809.7,41790.31,41800,6.32357,316
1.64482E+12,41869.36,41872.32,41858.5,41860,6.41188,334
1.64482E+12,41949.23,41965.99,41935.75,41936.89,33.21635,446
1.64481E+12,41968.17,41974.52,41946.62,41961.33,5.41674,349
1.64481E+12,41900,41908.3,41882.91,41902.79,46.30206,1055
1.64481E+12,41914.67,41965.99,41907,41949.16,21.12089,651
